Week,Amazon.com: (Worldwide)
2016-01-10,50
2016-01-17,52
2016-01-24,50
2016-01-31,48
2016-02-07,48
2016-02-14,47
2016-02-21,47
2016-02-28,46
2016-03-06,47
2016-03-13,45
2016-03-20,47
2016-03-27,48
2016-04-03,47
2016-04-10,46
2016-04-17,45
2016-04-24,46
2016-05-01,46
2016-05-08,47
2016-05-15,45
2016-05-22,46
2016-05-29,47
2016-06-05,46
2016-06-12,47
2016-06-19,48
2016-06-26,48
2016-07-03,50
2016-07-10,55
2016-07-17,49
2016-07-24,52
2016-07-31,52
2016-08-07,50
2016-08-14,48
2016-08-21,51
2016-08-28,51
2016-09-04,51
2016-09-11,51
2016-09-18,51
2016-09-25,53
2016-10-02,56
2016-10-09,52
2016-10-16,54
2016-10-23,55
2016-10-30,53
2016-11-06,53
2016-11-13,62
2016-11-20,79
2016-11-27,73
2016-12-04,70
2016-12-11,77
2016-12-18,68
2016-12-25,64
2017-01-01,62
2017-01-08,60
2017-01-15,60
2017-01-22,55
2017-01-29,55
2017-02-05,54
2017-02-12,52
2017-02-19,53
2017-02-26,56
2017-03-05,52
2017-03-12,52
2017-03-19,52
2017-03-26,52
2017-04-02,52
2017-04-09,52
2017-04-16,52
2017-04-23,53
2017-04-30,56
2017-05-07,59
2017-05-14,55
2017-05-21,54
2017-05-28,55
2017-06-04,55
2017-06-11,57
2017-06-18,58
2017-06-25,58
2017-07-02,58
2017-07-09,72
2017-07-16,59
2017-07-23,61
2017-07-30,61
2017-08-06,64
2017-08-13,60
2017-08-20,62
2017-08-27,62
2017-09-03,63
2017-09-10,60
2017-09-17,65
2017-09-24,62
2017-10-01,65
2017-10-08,64
2017-10-15,63
2017-10-22,63
2017-10-29,62
2017-11-05,67
2017-11-12,73
2017-11-19,95
2017-11-26,86
2017-12-03,85
2017-12-10,85
2017-12-17,81
2017-12-24,77
2017-12-31,71
2018-01-07,67
2018-01-14,64
2018-01-21,67
2018-01-28,62
2018-02-04,64
2018-02-11,59
2018-02-18,58
2018-02-25,59
2018-03-04,60
2018-03-11,59
2018-03-18,60
2018-03-25,58
2018-04-01,61
2018-04-08,57
2018-04-15,56
2018-04-22,58
2018-04-29,57
2018-05-06,57
2018-05-13,56
2018-05-20,56
2018-05-27,58
2018-06-03,59
2018-06-10,58
2018-06-17,54
2018-06-24,57
2018-07-01,57
2018-07-08,59
2018-07-15,79
2018-07-22,59
2018-07-29,59
2018-08-05,60
2018-08-12,58
2018-08-19,60
2018-08-26,61
2018-09-02,61
2018-09-09,58
2018-09-16,58
2018-09-23,58
2018-09-30,60
2018-10-07,64
2018-10-14,60
2018-10-21,63
2018-10-28,64
2018-11-04,63
2018-11-11,70
2018-11-18,91
2018-11-25,81
2018-12-02,79
2018-12-09,82
2018-12-16,77
2018-12-23,71
2018-12-30,67
2019-01-06,65
2019-01-13,62
2019-01-20,60
2019-01-27,58
2019-02-03,59
2019-02-10,58
2019-02-17,55
2019-02-24,55
2019-03-03,54
2019-03-10,55
2019-03-17,55
2019-03-24,56
2019-03-31,59
2019-04-07,59
2019-04-14,57
2019-04-21,56
2019-04-28,59
2019-05-05,59
2019-05-12,60
2019-05-19,59
2019-05-26,59
2019-06-02,62
2019-06-09,62
2019-06-16,61
2019-06-23,59
2019-06-30,60
2019-07-07,65
2019-07-14,84
2019-07-21,61
2019-07-28,64
2019-08-04,62
2019-08-11,63
2019-08-18,68
2019-08-25,64
2019-09-01,62
2019-09-08,61
2019-09-15,64
2019-09-22,67
2019-09-29,71
2019-10-06,66
2019-10-13,70
2019-10-20,69
2019-10-27,69
2019-11-03,70
2019-11-10,74
2019-11-17,82
2019-11-24,98
2019-12-01,96
2019-12-08,89
2019-12-15,89
2019-12-22,80
2019-12-29,72
2020-01-05,70
2020-01-12,69
2020-01-19,67
2020-01-26,66
2020-02-02,65
2020-02-09,65
2020-02-16,65
2020-02-23,66
2020-03-01,68
2020-03-08,68
2020-03-15,79
2020-03-22,80
2020-03-29,86
2020-04-05,88
2020-04-12,89
2020-04-19,89
2020-04-26,90
2020-05-03,85
2020-05-10,87
2020-05-17,87
2020-05-24,84
2020-05-31,80
2020-06-07,80
2020-06-14,77
2020-06-21,77
2020-06-28,80
2020-07-05,81
2020-07-12,78
2020-07-19,79
2020-07-26,78
2020-08-02,77
2020-08-09,75
2020-08-16,74
2020-08-23,75
2020-08-30,75
2020-09-06,72
2020-09-13,73
2020-09-20,71
2020-09-27,73
2020-10-04,72
2020-10-11,90
2020-10-18,78
2020-10-25,79
2020-11-01,77
2020-11-08,87
2020-11-15,92
2020-11-22,100
2020-11-29,96
2020-12-06,93
2020-12-13,92
2020-12-20,85
2020-12-27,85
2021-01-03,88
